"","locus","n_samples"
"861","Contig_2_341",44
"862","Contig_2_342",35
"863","Contig_2_343",54
"864","Contig_2_344",61
"865","Contig_2_349",70
"866","Contig_2_350",51
"867","Contig_2_351",65
"868","Contig_2_354",46
"869","Contig_2_355",52
"870","Contig_2_356",72
"871","Contig_2_357",56
"872","Contig_2_359",53
"873","Contig_2_363",56
"874","Contig_2_364",67
"875","Contig_2_367",66
"876","Contig_2_369",56
"877","Contig_2_371",76
"878","Contig_2_372",49
"879","Contig_2_373",65
"880","Contig_2_374",47
"881","Contig_2_375",67
"882","Contig_2_377",64
"883","Contig_2_379",71
"884","Contig_2_381",62
"885","Contig_2_383",41
"886","Contig_2_384",80
"887","Contig_2_386",46
"888","Contig_2_387",65
"889","Contig_2_388",59
"890","Contig_2_389",40
"891","Contig_2_391",37
"892","Contig_2_392",38
"893","Contig_2_393",30
"894","Contig_2_395",53
"895","Contig_2_396",73
"896","Contig_2_397",53
"897","Contig_2_398",58
"898","Contig_2_399",69
"899","Contig_2_400",54
"900","Contig_2_402",57
"901","Contig_2_403",58
"902","Contig_2_404",77
"903","Contig_2_405",41
"904","Contig_2_407",70
"905","Contig_2_408",51
"906","Contig_2_409",65
"907","Contig_2_411",72
"908","Contig_2_414",68
"909","Contig_2_415",63
"910","Contig_2_417",67
"911","Contig_2_421",62
"912","Contig_2_423",64
"913","Contig_2_428",49
"914","Contig_2_429",61
"915","Contig_2_430",73
"916","Contig_2_431",66
"917","Contig_2_432",63
"918","Contig_2_437",65
"919","Contig_2_438",61
"920","Contig_2_440",63
"921","Contig_2_441",70
"922","Contig_2_443",47
"923","Contig_2_446",68
"924","Contig_2_448",41
"925","Contig_2_449",47
"926","Contig_2_450",1
"927","Contig_2_453",69
"928","Contig_2_454",67
"929","Contig_2_455",69
"930","Contig_2_456",65
"931","Contig_2_457",66
"932","Contig_2_458",52
"933","Contig_2_461",56
"934","Contig_2_462",66
"935","Contig_2_465",54
"936","Contig_2_467",65
"937","Contig_2_468",48
"938","Contig_2_471",61
"939","Contig_2_474",68
"940","Contig_2_475",64
"941","Contig_2_476",54
"942","Contig_2_477",67
"943","Contig_2_478",76
"944","Contig_2_486",68
"945","Contig_2_489",62
"946","Contig_2_492",56
"947","Contig_2_493",49
"948","Contig_2_498",65
"949","Contig_2_499",48
"950","Contig_2_506",64
"951","Contig_2_507",60
"952","Contig_2_509",62
"953","Contig_2_510",58
"954","Contig_2_512",71
"955","Contig_2_515",68
"956","Contig_2_522",53
"957","Contig_2_524",66
"958","Contig_2_525",59
"959","Contig_2_527",65
"960","Contig_2_528",62
"961","Contig_2_531",36
"962","Contig_2_532",61
"963","Contig_2_534",56
"964","Contig_2_535",65
"965","Contig_2_536",63
"966","Contig_2_541",75
"967","Contig_2_542",69
"968","Contig_2_554",55
"969","Contig_2_555",58
"970","Contig_2_557",34
"971","Contig_2_564",57
"972","Contig_2_567",73
"973","Contig_2_569",33
"974","Contig_2_570",62
"975","Contig_2_571",40
"976","Contig_2_578",69
"977","Contig_2_579",77
"978","Contig_2_580",51
"979","Contig_2_588",73
"980","Contig_2_590",66
"981","Contig_2_598",62
"982","Contig_2_599",69
"983","Contig_2_601",68
"984","Contig_2_602",65
"985","Contig_2_611",67
"986","Contig_2_614",76
"987","Contig_2_618",66
"988","Contig_2_622",51
"989","Contig_2_623",69
"990","Contig_2_624",59
"991","Contig_2_628",59
"992","Contig_2_629",66
"993","Contig_2_630",58
"994","Contig_2_632",70
"995","Contig_2_636",56
"996","Contig_2_644",61
"997","Contig_2_652",62
"998","Contig_2_655",55
"999","Contig_2_660",73
"1000","Contig_2_668",71
"1001","Contig_2_669",65
"1002","Contig_2_670",61
"1003","Contig_2_674",61
