"","locus","n_samples"
"258","Assembly_000000022629_Contig_3_419_CINxHamelia",0
"259","Assembly_000000022697_Contig_1_305_RUBxPipecacuanha",18
"260","Assembly_000000022697_Contig_1_436_CINxNeolamarckia",39
"261","Assembly_000000022703_Contig_1_448_RUBxPipecacuanha",36
"262","Assembly_000000022703_Contig_2_269_RUBxPipecacuanha",28
"263","Assembly_000000022703_Contig_4_154_RUBxPipecacuanha",23
"264","Assembly_000000022767_Contig_1_475_CINxHamelia",39
"265","Assembly_000000022841_Contig_1_223_RUBxPipecacuanha",37
"266","Assembly_000000022841_Contig_2_325_RUBxPipecacuanha",37
"267","Assembly_000000022969_Contig_12_331_RUBxPipecacuanha",39
"268","Assembly_000000023933_Contig_1_551_RUBxPmarginata",38
"269","Assembly_000000023933_Contig_2_304_RUBxPmarginata",36
"270","Assembly_000000023933_Contig_3_262_RUBxPmarginata",37
"271","Assembly_000000024097_Contig_1_256_RUBxPmarginata",39
"272","Assembly_000000024097_Contig_2_299_RUBxPmarginata",37
"273","Assembly_000000024097_Contig_4_249_RUBxPmarginata",37
"274","Assembly_000000024143_Contig_2_463_CINxNeolamarckia",0
"275","Assembly_000000024143_Contig_3_466_CINxNeolamarckia",2
"276","Assembly_000000024227_Contig_1_463_CINxNeolamarckia",34
"277","Assembly_000000024339_Contig_1_370_RUBxPipecacuanha",37
"278","Assembly_000000024387_Contig_1_127_RUBxPipecacuanha",34
"279","Assembly_000000024387_Contig_2_123_RUBxPipecacuanha",28
"280","Assembly_000000024465_Contig_1_722_CINxHamelia",36
"281","Assembly_000000024477_Contig_5_231_RUBxPipecacuanha",37
"282","Assembly_000000024541_Contig_1_766_CINxHamelia",38
"283","Assembly_000000024541_Contig_2_283_CINxHamelia",38
"284","Assembly_000000024661_Contig_1_495_RUBxPipecacuanha",35
"285","Assembly_000000024661_Contig_2_306_RUBxPipecacuanha",38
"286","Assembly_000000024693_Contig_1_349_CINxHamelia",20
"287","Assembly_000000024693_Contig_2_246_CINxHamelia",37
"288","Assembly_000000024693_Contig_3_152_CINxHamelia",0
"289","Assembly_000000024701_Contig_1_349_CINxHamelia",37
"290","Assembly_000000024727_Contig_1_289_CINxHamelia",38
"291","Assembly_000000024739_Contig_2_288_RUBxPipecacuanha",33
"292","Assembly_000000024789_Contig_1_536_RUBxPipecacuanha",37
"293","Assembly_000000024789_Contig_3_172_RUBxPipecacuanha",34
"294","Assembly_000000024789_Contig_4_154_RUBxPipecacuanha",30
"295","Assembly_000000024795_Contig_1_227_RUBxPmarginata",35
"296","Assembly_000000024829_Contig_1_347_RUBxPipecacuanha",34
"297","Assembly_000000024861_Contig_2_264_CINxNeolamarckia",36
"298","Assembly_000000024861_Contig_4_177_CINxNeolamarckia",0
"299","Assembly_000000025051_Contig_2_584_RUBxPmarginata",38
"300","Assembly_000000025059_Contig_2_180_RUBxPipecacuanha",37
"301","Assembly_000000025059_Contig_3_142_RUBxPipecacuanha",32
"302","Assembly_000000025059_Contig_4_169_RUBxPipecacuanha",36
"303","Assembly_000000025113_Contig_1_375_RUBxPipecacuanha",38
